id	day
cell_3584	7.5
cell_3589	7.5
cell_3596	7.5
cell_3617	7.5
cell_3633	7.5
cell_3634	7.5
cell_3648	7.5
cell_3652	7.5
cell_3660	7.5
cell_3664	7.5
cell_3666	7.5
cell_3682	7.5
cell_3689	7.5
cell_3693	7.5
cell_3711	7.5
cell_3729	7.5
cell_3740	7.5
cell_3755	7.5
cell_3760	7.5
cell_3780	7.5
cell_3793	7.5
cell_3797	7.5
cell_3862	7.5
cell_3864	7.5
cell_3872	7.5
cell_3874	7.5
cell_3886	7.5
cell_3904	7.5
cell_3947	7.5
cell_3956	7.5
cell_3975	7.5
cell_3998	7.5
cell_4013	7.5
cell_4022	7.5
cell_4039	7.5
cell_4047	7.5
cell_4056	7.5
cell_4067	7.5
cell_4071	7.5
cell_4073	7.5
cell_4082	7.5
cell_4100	7.5
cell_4106	7.5
cell_4109	7.5
cell_4124	7.5
cell_4154	7.5
cell_4177	7.5
cell_4178	7.5
cell_4193	7.5
cell_4208	7.5
cell_4237	7.5
cell_4243	7.5
cell_4259	7.5
cell_4261	7.5
cell_4285	7.5
cell_4304	7.5
cell_4315	7.5
cell_4325	7.5
cell_4330	7.5
cell_4356	7.5
cell_4381	7.5
cell_4393	7.5
cell_4442	7.5
cell_4464	7.5
cell_4488	7.5
cell_4490	7.5
cell_4496	7.5
cell_4536	7.5
cell_4544	7.5
cell_4549	7.5
cell_4577	7.5
cell_4581	7.5
cell_4584	7.5
cell_4585	7.5
cell_4598	7.5
cell_4620	7.5
cell_4647	7.5
cell_4652	7.5
cell_4655	7.5
cell_4656	7.5
cell_4668	7.5
cell_4699	7.5
cell_4713	7.5
cell_4772	7.5
cell_4775	7.5
cell_4782	7.5
cell_4788	7.5
cell_4800	7.5
cell_4826	7.5
cell_4828	7.5
cell_4830	7.5
cell_4838	7.5
cell_4839	7.5
cell_4842	7.5
cell_4853	7.5
cell_4913	7.5
cell_4921	7.5
cell_4972	7.5
cell_4984	7.5
cell_5009	7.5
cell_5017	7.5
cell_5020	7.5
cell_5032	7.5
cell_5040	7.5
cell_5062	7.5
cell_5070	7.5
cell_5076	7.5
cell_5077	7.5
cell_5082	7.5
cell_5176	7.5
cell_5182	7.5
cell_5186	7.5
cell_5238	7.5
cell_5239	7.5
cell_5251	7.5
cell_5257	7.5
cell_5264	7.5
cell_5267	7.5
cell_5277	7.5
cell_5329	7.5
cell_5330	7.5
cell_5349	7.5
cell_5399	7.5
cell_5422	7.5
cell_5430	7.5
cell_5440	7.5
cell_5451	7.5
cell_5471	6.75
cell_5474	6.75
cell_5475	6.75
cell_5477	6.75
cell_5480	6.75
cell_5492	6.75
cell_5502	6.75
cell_5507	6.75
cell_5522	6.75
cell_5541	6.75
cell_5552	6.75
cell_5559	6.75
