id	Foregut 2	Pharyngeal endoderm	Foregut 1	Midgut	Hindgut 2	Midgut/Hindgut	Hindgut 1	ExE endoderm
cell_107910	0.001655353124029117	0.0016698787381705788	0.001602112133654358	0.0016017116680782661	0.0016076743135277375	0.001623882567412948	0.0014170314093224922	3.308350106327295e-06
cell_107913	0.00031496617763000654	0.00028816016419710804	0.00039750982644327427	0.000408623045589662	0.0004045196996435726	0.00037305380860154107	0.0007525593561472388	0.0001425960587287981
cell_107929	5.9847326436437924e-05	5.3412291432933046e-05	9.489234313589363e-05	8.640564120102099e-05	7.719099983859122e-05	7.308569654181175e-05	0.00014661459867165505	0.006138392663447682
cell_107931	0.0015571738426687473	0.0015728320606088774	0.0015018307016870364	0.001500859937996406	0.0015080484997990985	0.001523980275996002	0.0013161987528564974	2.173377390380717e-06
cell_107944	0.001638661011946121	0.0016543479696977121	0.001582285056114737	0.0015816595337454786	0.0015888392456932256	0.0016051841794106226	0.0013923604659404206	2.4986805708256758e-06
cell_107954	3.411927569360281e-05	3.033391412253289e-05	5.847425463744905e-05	5.0605954800001155e-05	4.348700730900827e-05	4.1633638745810495e-05	8.13310790484525e-05	0.008481926805567714
cell_107965	0.0013373808267214148	0.0013514006514858139	0.0012883974608876223	0.001287355305428177	0.001293880711245879	0.0013078133109791369	0.0011254365494963504	1.603060044857732e-06
cell_107978	0.0013963604742404678	0.001409676766865218	0.0013482564171741717	0.0013479646086522706	0.001354477946803356	0.0013680529831677699	0.0011891028070268998	2.311262385930593e-06
cell_108003	0.0015245756397876506	0.0015389308422756728	0.0014732357261628979	0.0014723939652112599	0.0014783300014648915	0.001493778768833809	0.0012962973563470969	2.602204607481922e-06
cell_108008	0.0013667658253324645	0.0013781962878578334	0.0013237303546955886	0.001324040849872274	0.0013294224926485218	0.001342029804052528	0.0011776516787947821	2.905857699806586e-06
cell_108016	0.0016291228586412278	0.0016452562861022626	0.0015718972156001138	0.001570891565657331	0.0015780423642101002	0.0015947567269317473	0.0013781628470510465	2.3026210155176217e-06
cell_108026	0.0014712555279826132	0.0014849715603791238	0.0014219198364112042	0.0014210233100372016	0.0014262546480182524	0.001441541853232861	0.0012480697114050227	1.9765047971764467e-06
cell_108051	0.00027946175379802676	0.0002531501557215066	0.0003730396764546339	0.00037481339789350687	0.0003630705558448923	0.0003359505467688947	0.0006884924587214147	0.000563348508153559
cell_108059	0.00034036870932828184	0.0003127782718870359	0.0004247443169083191	0.0004361267275103323	0.00043147639327708687	0.0003997866938586517	0.0007829986106300691	0.00013702136334443427
cell_108064	0.001452493047754356	0.00146608643384837	0.0014036741448070632	0.001403029566086572	0.0014088328833949371	0.0014233641293468929	0.0012367848448066347	2.3216292074157273e-06
cell_108079	0.0015124764595687349	0.0015273736043116672	0.0014594006007543335	0.0014586053805306766	0.0014653873132047582	0.001480744065140979	0.0012806759731137168	2.2739098946900892e-06
cell_108088	0.0002500148669969844	0.00022580706809368094	0.000342409094937046	0.0003397240076259297	0.0003253747326763852	0.00030162897309684265	0.0006242030842579426	0.0004034646548834355
cell_108089	0.0013890837548905378	0.001403427870174671	0.0013387420171867889	0.0013377493685059617	0.0013444351996406256	0.0013587988087634965	0.0011708188219998355	1.76699885648419e-06
cell_108113	0.0002366463183378079	0.00021422836169021392	0.0003265506895349598	0.00032098129783797127	0.0003050085195642681	0.0002839424172818579	0.0005818373159851573	0.0002009545409095054
cell_108119	0.001624597791745191	0.0016405765669385182	0.0015679140282173656	0.0015668437263804105	0.0015736523287296555	0.0015904495161399965	0.0013742909029849306	2.198763578983632e-06
cell_108123	0.0003625220800109414	0.0003350147348504263	0.00044475533377779524	0.0004576164142774767	0.00045454996652822123	0.00042184127312768985	0.0008125945371725756	0.0001028775810876462
cell_108159	0.0013330653873822893	0.0013471227733542887	0.0012840923940254628	0.0012829278359501007	0.0012893505037005785	0.0013034070142255326	0.001119988992073333	1.5576541516583377e-06
cell_108166	0.0013210484517558612	0.001334612309086538	0.001273360934778546	0.0012724460308691581	0.0012787835630638426	0.0012924078461165507	0.0011140292410962795	1.718438432301136e-06
cell_108175	0.0013243209425873746	0.0013380314574828935	0.001276168732030323	0.001275240475894813	0.001281697794540743	0.001295399774059385	0.0011156776808193703	1.642800289841543e-06
cell_108183	0.0013704699673924067	0.0013844977596129842	0.0013210397267901038	0.0013200694544831515	0.0013264742357732152	0.0013407230623880926	0.0011547919890055995	1.7193076169142457e-06
cell_108214	0.0013984880971154648	0.0014130193077644716	0.0013476689695228407	0.0013465129199512007	0.0013530382177245862	0.0013677453786515635	0.0011765507562825214	1.6662497686522286e-06
cell_108216	0.0014665904748518927	0.0014813095632423225	0.0014145209083156953	0.0014136237265950267	0.0014203164272949486	0.0014353373677974072	0.0012397779625017372	1.94386909139919e-06
cell_108257	0.0015820186765413125	0.0015966889201527992	0.0015290736592603635	0.0015284173737076547	0.0015346776840842967	0.0015505003811419405	0.0013470970859271005	2.702310254860694e-06
cell_108284	0.0015163137296303692	0.0015313509724143193	0.0014627995390935373	0.0014620707232259364	0.001469118691487089	0.001484391210496159	0.001284467299896387	2.1853377771573713e-06
cell_108293	0.0003253799385046782	0.0003021287880620971	0.0004009610086260151	0.0004071678189376042	0.00040012521607573454	0.0003749157045819622	0.0006909694874864708	0.0001420747783816217
cell_108346	0.001466575971551812	0.0014814157227160693	0.0014145655609953771	0.0014132888944785801	0.0014194826436743453	0.0014349752936306545	0.001236276513888393	1.844671416432249e-06
cell_108368	0.001499070325961798	0.0015144478407376227	0.001444949822266075	0.001443965130251407	0.0014511356465821037	0.001466550671481125	0.0012648177546093445	1.887960642300296e-06
cell_108370	0.001502486365033383	0.00151793239836786	0.0014482559565095908	0.001447162538711354	0.0014542504340616306	0.0014698229585171042	0.001266636488910933	1.9425732587550443e-06
cell_108379	0.0016823378366886514	0.0016987283570699188	0.0016240835153637308	0.0016230023230127655	0.0016299278737532663	0.001647302179436566	0.0014241665917521067	2.2528255065652495e-06
